title,price,brand,quantity,product_code
"One Good Peanut Curd, 2 x 500 g Multipack",₹198,One Good,2 x 500 g,1229863
"Yakult Probiotic Fermented Milk Drink - Light, 4x65 ml Multipack",,Yakult,4x65 ml,1209280
"Nestle A+ Slim Dahi - Low-Fat Curd, 380 g Cup",₹85,Nestle A+,,206701
"Tasties Biscuits - Osmania, 2x200 g Multipack",₹238,Tasties,2x200 g,1203304
"Milky Mist Mozzarella - Shredded, Pizza, Cheese, Great Source Of Protein, Rich In Taste, 200 g Pouch",₹160,Milky Mist,200 g,40206820
"Milky Mist Fresh Cream - Medium Fat, Rich Smooth Texture, 250 ml",,Milky Mist,,40121096
"Amul Ice Cream - Tricone, Butterscotch, 4 x 120 ml Multipack",₹140,Amul,4 x 120 ml,1223457
"AKSHAYAKALPA Cooking Butter - Unsalted, Organic, Tub, 3x200 g Multipack",₹690,AKSHAYAKALPA,3x200 g,1213679
"Go Butter Milk - Ginger & Jeera (Spiced), 5x200 ml (Multipack)",,Go,5x200 ml,1209723
"Britannia Fudge It Brownie - Chocolate, 40 g",₹20,Britannia,,40204406
"Milky Mist Lactose Free Toned Milk - UHT Sterilized, Easy To Digest, 250 ml",,Milky Mist,,40298535
"Amul Sugar Free Ice Cream - Shahi Anjeer, With Chocolate Sauce, 4 x 125 ml Multipack",,Amul,4 x 125 ml,1223460
"Britannia Bread - Healthy Slice, 450 g",,Britannia,,40092247
"The Baker's Dozen 100% Whole Wheat Pav Sourdough, 2X220 g Multipack",,The Baker's Dozen,2X220 g,1222168
"kwality walls Magnum Ice Cream Sticks - Brownie, 4 x 80 ml Multipack",₹396,kwality walls,4 x 80 ml,1222892
"fresho! Signature Fresh Croissant Butter, 150 g",,fresho! Signature,,40037504
"Milky Mist Mishti Doi, 5x100 g Multipack",,Milky Mist,5x100 g,1209138
"Go Supremo Milk, 12x1 L Multipack",₹984,Go,12x1 L,1202408
"So Good Plant-Based Almond Beverage - Vanilla, 4x200 ml Multipack (Pack of 4)",₹300,So Good,4x200 ml,1209229
"Elite Choco Brownie Cake, 50 g Pouch",,Elite,,40321713
"Sunfeast Caker Swiss Roll Cake - Chocolate, 6x23 g Multipack",₹60,Sunfeast,6x23 g,1212643
"MODERN  Sandwich Supreme Bread - Baked For Sandwiches, 800 g",₹90,MODERN,,40223051
"kwality walls Magnum Ice Cream Sticks - Almond, 4 x 80 ml Multipack",₹396,kwality walls,4 x 80 ml,1222889
"kwality walls Double Chocolate Cornetto Frozen Dessert, 4 x 105 ml Multipack",₹160,kwality walls,4 x 105 ml,1222885
"Amul Kool Cafe, 5x200 ml (Multipack)",,Amul,5x200 ml,1209724
"Amul Ice Cream - Tricone, Choco Crunch, 4 x 120 ml Multipack",₹140,Amul,4 x 120 ml,1223466
"Health on Plants Classic Tofu - Handcrafted, Non GMO, Vegan, Keto-friendly, 200 g",,Health on Plants,,40238511
"The Health Factory Zero Maida Bread - Simply Multi Grain, 250 g",₹70,The Health Factory,,40291988
"Amul Ice Cream - Tricone, Two In One, 4 x 120 ml Multipack",₹140,Amul,4 x 120 ml,1223468
"Milky Mist Khova - Unsweetened, Creamy Texture, Milky Aroma, 200 g Pouch",,Milky Mist,,40003160
"fresho! Burger Buns - Preservative Free, 150 g (2 pcs)",,fresho!,,40025356
"The Baker's Dozen Sourdough - Four Grain, 100% Whole Wheat, 370 g",,The Baker's Dozen,,40169949
"fresho! Milk Bread - Preservative Free, 400 g",,fresho!,,40037466
"Amul Ice Cream - Choco Almond 'N' Kesar Badam, 2x1 L Multipack",,Amul,2x1 L,1209581
"Go Milk - Double Toned, 6x1 L Multipack",₹450,Go,6x1 L,1203512
"MODERN  Milk Plus Bread - Calcium Power Of 4 Glasses Of Milk, 350 g",₹50,MODERN,,40223050
"Britannia Gobbles Cake - Pineapple, 72x30 g Multipack",₹720,Britannia,72x30 g,1216976
"Amul Processed Cheese Spread - Yummy Plain, Made from 100% Pure Milk, 200 g Tub",,Amul,,104823
"Bauli Moonfils - Choco Cream, Vegetarian, Centre Filled Puff Rolls, Italian Recipe, 2x50 g Multipack",₹40,Bauli,2x50 g,1223903
"Amul Ice Cream - King Alphonso, 1 L Tub",,Amul,,40012982
"Winkies Centre Filled Cake - Chocolate with Vanilla Cream, 30 g",,Winkies,,40016956
"Fresho Signature Bread - Garlic, 200 g",,Fresho Signature,,40037492
"AKSHAYAKALPA Organic Plain Buttermilk, 3 x 200 ml Multipack",₹90,AKSHAYAKALPA,3 x 200 ml,1228257
"MODERN  Atta Shakti Zero Maida Whole Wheat Breakfast Bread, 400 g",₹35,MODERN,,106595
"Britannia Treat Croissant - Mixed Fruit, soft, 100% Veg, 4x47 g Multipack",₹80,Britannia,4x47 g,1221474
"Amul Real Ice Cream - Moroccan Dry Fruit, 2x1 L Multipack",₹600,Amul,2x1 L,1209573
"kwality walls Desi Kulfi, 4 x 100 ml Multipack",₹240,kwality walls,4 x 100 ml,1223463
"Nestle  Milo Cocoa-Malt Milk Beverage - Grab & Go Pack, 3x180 ml Multipack",₹135,Nestle,3x180 ml,1207067
"bb Royal Organic - Toor Dal/Togari Bele, 1 kg",,bb Royal,1 kg,40072494
"Nandini Pure Ghee, 2 x 500 ml Multipack",₹630,Nandini,2 x 500 ml,1214143
"bb Royal Organic - Almond/Badam, 500 g",,bb Royal,500 g,40101871
"Aashirvaad Atta/Godihittu - Whole Wheat, 10 kg",₹540,Aashirvaad,10 kg,126906
